iter	RMSE
0	11591.67211
1	11158.80494
2	10767.4259
3	10372.58799
4	10033.79064
5	9700.971099
6	9367.124674
7	9071.215963
8	8778.326221
9	8518.416566
10	8260.599074
11	8041.561938
12	7818.41306
13	7634.29637
14	7439.280485
15	7246.742492
16	7066.318385
17	6901.09142
18	6744.854241
19	6593.823668
20	6451.332781
21	6351.876036
22	6233.27782
23	6101.787637
24	5983.781621
25	5879.597987
26	5785.817417
27	5689.278172
28	5599.760897
29	5509.568308
30	5439.249492
31	5368.799873
32	5300.870969
33	5247.159089
34	5185.233074
35	5128.527912
36	5079.664027
37	5024.865022
38	4982.030579
39	4940.61975
40	4899.40045
41	4858.375872
42	4827.444732
43	4795.838762
44	4763.674549
45	4742.886015
46	4711.811125
47	4685.098864
48	4657.834003
49	4635.074413
50	4615.745036
51	4592.773582
52	4573.055949
53	4552.985152
54	4536.751357
55	4517.606205
56	4502.26877
57	4487.08479
58	4474.062843
59	4457.993782
60	4441.240472
61	4430.613162
62	4418.007832
63	4406.834995
64	4393.630049
65	4381.74732
66	4370.686614
67	4368.114214
68	4358.191376
69	4349.140611
70	4339.092254
71	4331.187791
72	4323.71795
73	4317.863297
74	4313.933258
75	4309.836891
76	4304.521097
77	4296.892139
78	4291.314424
79	4284.087003
80	4274.722123
81	4271.009442
82	4268.928579
83	4262.779298
84	4258.509904
85	4254.402079
86	4247.205301
87	4241.223761
88	4237.194804
89	4232.730056
90	4228.795053
91	4225.152393
92	4217.574866
93	4213.755091
94	4208.139315
95	4200.937185
96	4197.125584
97	4190.062656
98	4184.327619
99	4180.214088
