iter	Passed	Remaining
0	3	342
1	4	238
2	7	242
3	10	243
4	12	243
5	15	240
6	17	237
7	20	234
8	22	232
9	24	219
10	26	217
11	29	215
12	31	213
13	34	214
14	36	208
15	40	210
16	42	208
17	45	205
18	47	203
19	49	196
20	52	196
21	53	188
22	55	186
23	58	185
24	61	183
25	64	182
26	67	182
27	70	180
28	72	177
29	75	175
30	76	170
31	78	167
32	81	164
33	83	162
34	86	160
35	88	157
36	90	154
37	92	151
38	95	148
39	97	146
40	99	143
41	102	141
42	104	139
43	107	136
44	110	134
45	111	130
46	114	128
47	116	126
48	119	124
49	121	121
50	124	119
51	127	117
52	129	115
53	132	113
54	135	111
55	138	108
56	141	106
57	143	104
58	146	101
59	148	99
60	151	96
61	153	94
62	156	91
63	158	89
64	161	86
65	163	84
66	166	81
67	167	78
68	169	76
69	172	73
70	174	71
71	177	68
72	179	66
73	182	64
74	185	61
75	187	59
76	189	56
77	192	54
78	194	51
79	197	49
80	200	46
81	202	44
82	204	41
83	207	39
84	209	36
85	211	34
86	214	32
87	217	29
88	219	27
89	221	24
90	224	22
91	226	19
92	229	17
93	231	14
94	234	12
95	237	9
96	240	7
97	243	4
98	246	2
99	248	0
